路段,設置時間,經度,緯度
大同區鄭州路與西寧北路口,111年1月3日,121.5081064,25.05059952
士林區中正路與延平北路口,111年12月1日,121.5092327,25.08687474
大安、信義區和平東路與基隆路口,111年12月1日,121.5525092,25.02439535
大同、中正區市民大道與承德路口,111年12月1日,121.516483,25.04866537
北投區承德路與福國路口,111年12月1日,121.5124166,25.10166125
大同區民權西路與延平北路口,111年12月1日,121.5111952,25.06296267
大安區辛亥路三段與基隆路三段口,111年12月1日,121.5467801,25.01920223
中山、中正區市民大道二段與中山北路口,111年12月1日,121.5207032,25.04803318
信義區信義路與基隆路口,111年12月1日,121.5595267,25.03312461
文山區辛亥路六段與木柵路一段口 ,111年12月1日,121.5523697,24.98780604
北投區大度路三段與立德路口,111年12月1日,121.4714408,25.12292583
松山、大安區市民大道與敦化南路口,111年12月1日,121.5488704,25.0448906
中山區大直街與北安路口,111年12月1日,121.5493633,25.08411692
大安區信義路與建國南路口,111年12月1日,121.5380136,25.03350393
信義區忠孝東路與基隆路口,111年12月1日,121.56462,25.04125027
中山區民權東路與建國北路口,111年12月1日,121.5372399,25.06231952
萬華區和平西路與西園路口,111年12月1日,121.499314,25.03531513
大同區民權西路與承德路口,111年12月1日,121.5182309,25.06299403
大同區民權西路與蘭州街口 ,111年12月1日,121.5147709,25.06307485
中山、中正區市民大道二段與林森北路口 ,111年12月1日,121.5242582,25.04790278
中山、大安區市民大道與建國南路口,111年12月1日,121.5368274,25.04474661
